Channel Text File,,,,,,,,,,,,,,,,,,,,,,
Prj,,,,,,,,,,,,,,,,,,,,,,
Author,,,,,,,,,,,,,,,,,,,,,,
JobMode,Grid,,,,,,,,,,,,,,,,,,,,,
XCells,220,,,,,,,,,,,,,,,,,,,,,
YCells,220,,,,,,,,,,,,,,,,,,,,,
XStep,0.2,,,,,,,,,,,,,,,,,,,,,
YStep,0.2,,,,,,,,,,,,,,,,,,,,,
AcqE1,0,,,,,,,,,,,,,,,,,,,,,
AcqE2,0,,,,,,,,,,,,,,,,,,,,,
AcqE3,0,,,,,,,,,,,,,,,,,,,,,
Euler angles refer to Sample Coordinate system (CS0)!,Mag,2500,Coverage,49,Device,0,KV,15,TiltAngle,70,TiltAxis,0,DetectorOrientationE1,358.9641,DetectorOrientationE2,95.5515,DetectorOrientationE3,358.4895,WorkingDistance,24.6958,InsertionDistance,178.5
Phases,2,,,,,,,,,,,,,,,,,,,,,
2.950;2.950;4.681,90.000;90.000;120.000,Titanium-Hexagonal,9,194,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
3.311;3.311;3.311,90.000;90.000;90.000,Titanium-Cubic,11,229,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
Phase,X,Y,Bands,Error,Euler1,Euler2,Euler3,MAD,BC,BS,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,100,255,,,,,,,,,,,,
0,0.2,0,0,3,0,0,0,0,100,255,,,,,,,,,,,,
0,0.4,0,0,3,0,0,0,0,100,255,,,,,,,,,,,,
0,0.6,0,0,3,0,0,0,0,103,255,,,,,,,,,,,,
0,0.8,0,0,3,0,0,0,0,109,255,,,,,,,,,,,,
0,1,0,0,3,0,0,0,0,121,255,,,,,,,,,,,,
0,1.2,0,0,3,0,0,0,0,118,255,,,,,,,,,,,,
0,1.4,0,0,3,0,0,0,0,97,255,,,,,,,,,,,,
0,1.6,0,0,3,0,0,0,0,98,255,,,,,,,,,,,,
0,1.8,0,0,3,0,0,0,0,135,255,,,,,,,,,,,,
0,2,0,0,3,0,0,0,0,90,255,,,,,,,,,,,,
1,2.2,0,6,0,3.8702,105.2934,32.7441,1.4825,94,255,,,,,,,,,,,,
0,2.4,0,0,3,0,0,0,0,93,255,,,,,,,,,,,,
